"eardrum"	32000000	1200	0.6	0.078
"manubrium"	32000000	1200	1	0.078
"malleus"	14100000000	2260	1	0.15
"IMJ"	14100000000	1200	1	0.15
"incus"	14100000000	2260	1	0.15
"ISJ"	4000000	1200	1	0.15
"stapes"	14100000000	2260	1	0.15
"SAL"	410000	1200	1	0.15
"AML"	21000000	1200	1	0.15
"LML"	6700000	1200	1	0.15
"PIL"	6500000	1200	1	0.15
"ST"	52000000	1200	1	0.15
"TTT"	70000000	1200	1	0.15
